feature,numOfAppearance,chromeFirst,chromeLast,firefoxFirst,firefoxLast
window.Array.prototype.toLocaleString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.join,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.reverse,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.sort,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.lastIndexOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.copyWithin,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.find,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.findIndex,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.fill,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.isArray,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.from,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.of,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.prototype.toExponential,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.prototype.toFixed,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.prototype.toPrecision,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.prototype.toString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.prototype.valueOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.prototype.toLocaleString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.isFinite,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.isInteger,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.isNaN,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.isSafeInteger,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.parseFloat,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Number.parseInt,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Boolean,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Boolean.prototype.toString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Boolean.prototype.valueOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.anchor,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.big,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.blink,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.bold,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.charAt,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.charCodeAt,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.codePointAt,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.concat,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.endsWith,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.fontcolor,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.fontsize,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.fixed,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.includes,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.indexOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.italics,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.lastIndexOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.link,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.localeCompare,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.match,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.normalize,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.padEnd,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.padStart,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.repeat,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.replace,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.search,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.slice,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.small,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.split,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.strike,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.sub,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.substr,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.substring,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.sup,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.startsWith,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.toString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.trim,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.trimLeft,10,chrome-64.json,chrome-70.json,firefox-58.json,firefox-60.json
window.String.prototype.trimRight,10,chrome-64.json,chrome-70.json,firefox-58.json,firefox-60.json
window.String.prototype.toLowerCase,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.toUpperCase,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.valueOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.toLocaleLowerCase,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.prototype.toLocaleUpperCase,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.fromCharCode,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.fromCodePoint,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.String.raw,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Symbol,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Symbol.prototype.toString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Symbol.prototype.valueOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Symbol.for,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Symbol.keyFor,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.toString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.toDateString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.toTimeString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.toISOString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.toUTCString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getDate,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setDate,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getDay,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getFullYear,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setFullYear,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getHours,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setHours,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getMilliseconds,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setMilliseconds,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getMinutes,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setMinutes,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getMonth,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setMonth,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getSeconds,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setSeconds,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getTime,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setTime,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getTimezoneOffset,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getUTCDate,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setUTCDate,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getUTCDay,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getUTCFullYear,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setUTCFullYear,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getUTCHours,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setUTCHours,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getUTCMilliseconds,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setUTCMilliseconds,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getUTCMinutes,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setUTCMinutes,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getUTCMonth,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setUTCMonth,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getUTCSeconds,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setUTCSeconds,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.valueOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.getYear,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.setYear,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.toJSON,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.toLocaleString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.toLocaleDateString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.prototype.toLocaleTimeString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.now,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.parse,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Date.UTC,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Promise,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Promise.prototype.then,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Promise.prototype.catch,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Promise.prototype.finally,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Promise.all,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Promise.race,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Promise.resolve,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Promise.reject,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.prototype.exec,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.prototype.get dotAll,18,chrome-64.json,chrome-81.json,undefined,undefined
window.RegExp.prototype.get flags,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.prototype.get global,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.prototype.get ignoreCase,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.prototype.get multiline,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.prototype.get source,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.prototype.get sticky,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.prototype.get unicode,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.prototype.compile,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.prototype.toString,20,chrome-64.json,chrome-81.json,firefox-74.json,firefox-75.json
window.RegExp.prototype.test,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get input,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $_,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get lastMatch,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $&,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get lastParen,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $+,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get leftContext,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $`,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get rightContext,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $',36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $1,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $2,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $3,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $4,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $5,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $6,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $7,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $8,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RegExp.get $9,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Error,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Error.prototype,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Error.prototype.toString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Error.captureStackTrace,18,chrome-64.json,chrome-81.json,undefined,undefined
window.EvalError,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.EvalError.prototype,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RangeError,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.RangeError.prototype,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.ReferenceError,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.ReferenceError.prototype,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.SyntaxError,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.SyntaxError.prototype,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.TypeError,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.TypeError.prototype,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.URIError,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.URIError.prototype,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.JSON.parse,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.JSON.stringify,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.abs,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.acos,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.acosh,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.asin,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.asinh,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.atan,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.atanh,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.atan2,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.ceil,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.cbrt,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.expm1,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.clz32,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.cos,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.cosh,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.exp,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.floor,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.fround,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.hypot,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.imul,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.log,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.log1p,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.log2,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.log10,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.max,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.min,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.pow,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.random,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.round,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.sign,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.sin,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.sinh,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.sqrt,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.tan,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.tanh,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Math.trunc,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.debug,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.error,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.info,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.log,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.warn,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.dir,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.dirxml,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.table,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.trace,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.group,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.groupCollapsed,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.groupEnd,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.clear,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.count,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.assert,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.markTimeline,5,chrome-64.json,chrome-68.json,undefined,undefined
window.console.profile,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.profileEnd,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.timeline,5,chrome-64.json,chrome-68.json,undefined,undefined
window.console.timelineEnd,5,chrome-64.json,chrome-68.json,undefined,undefined
window.console.time,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.timeEnd,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.timeStamp,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.console.context,18,chrome-64.json,chrome-81.json,undefined,undefined
window.console.get memory,18,chrome-64.json,chrome-81.json,undefined,undefined
window.Intl.DateTimeFormat,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
